German,English
der Abend,Evening
die Adresse,Address
die Antwort,Answer
der Arzt,Male Doctor
die Ärztin,Female Doctor
das Beispiel,Example
der Beruf,Job
das Bild,Picture
der Computer,Computer
das Deutsch,German
das Deutschland,Germany
die Entschuldigung,Apology
das Europa,Europe
der Fahrer,Male Driver
die Fahrerin,Female Driver
die Familie,Family
der Familiename,Family Name / Surname
der Flug,Flight
der Flughafen,Airport
das Foto,Photograph
die Frage,Question
die Frau,Woman
der Freund,Male Friend
die Freundin,Female Friend
der Friseur,Male Hairdresser
die Friseurin,Female Hairdresser
die Gitarre,Guitar
die Information,Information
der Ingenieur,Male Engineer
die Ingenieurin,Female Engineer
das Jahr,Year
der Kaffee,Coffee
die Kellnerin,Waitress
der Kellner,Waiter
das Kind,Child
der Kiosk,Kiosk
der Kurs,Course
das Land,Country
die Lehrerin,Female Teacher
der Lehrer,Male Teacher
die Leute,People
der Mann,Man
die Minute,Minute
der Moment,Moment
der Morgen,Morning
der Nachname,Surname
der Name,Name
das Neujahr,New Year
die Nummer,Number
das Österreich,Austria
der Pass,Pass
die Person,Person
der Platz,Place
das Radio,Radio
das Risiko,Risk
die Schokolade,Chocolate
die Schweiz,Switzerland
das Sofa,Sofa
die Sprache,Language
die Stadt,City
der Tag,Day
der Taxifahrer,Male Taxi Driver
die Taxifahrerin,Female Taxi Driver
der Tee,Tea
das Telefon,Telephone
die Telefonnummer,Telephone number
der Text,Text
der Tourist,Male Tourist
die Touristin,Female Tourist
der Vorname,First Name
das Wort,Word
die Zahl,Number
die Zeit,Time
der Zettel,Piece of Paper
die Zigarette,Cigarette
der Herr,Mister
